company,ats,link
NVIDIA,workday,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/?q=intern&locationHierarchy1=2fcb99c455831013ea52fb338f2932d8
"Samsung Semiconductor",greenhouse,https://boards.greenhouse.io/samsungsemiconductor
"Lucid Motors",lever,https://jobs.lever.co/lucidmotors/
Qualcomm,eightfold,https://careers.qualcomm.com/careers/?query=intern&location=United%20States&pid=446694599363&domain=qualcomm.com&sort_by=relevance&triggerGoButton=false&triggerGoButton=true
Dolby,eightfold,https://jobs.dolby.com/careers?query=intern&location=United%20States&pid=19519852&domain=dolby.com&sort_by=relevance
Spotify,N/A,https://www.lifeatspotify.com/students
Leidos,workday,https://leidos.wd5.myworkdayjobs.com/External?q=intern
CACI,workday,https://caci.wd1.myworkdayjobs.com/External?q=intern
"Western Digital",smartrecruiters,https://careers.smartrecruiters.com/WesternDigital/university
Loop,greenhouse,https://boards.greenhouse.io/loop
Plus,lever,https://jobs.lever.co/plus-2?
DoubleVerify,greenhouse,https://boards.greenhouse.io/doubleverify
Roku,N/A,https://www.weareroku.com/jobs/search?page=1&query=intern
Databricks,greenhouse,https://boards.greenhouse.io/embed/job_board?for=Databricks
Snowflake,greenhouse,https://boards.greenhouse.io/embed/job_board?for=snowflakecomputing
Addepar,greenhouse,https://boards.greenhouse.io/addepar1
"Elevance Health",workday,https://elevancehealth.wd1.myworkdayjobs.com/en-US/ANT?q=internship
Intel,workday,https://intel.wd1.myworkdayjobs.com/External?q=intern
Astranis,greenhouse,https://boards.greenhouse.io/astranis
Olo,lever,https://jobs.lever.co/olo?commitment=Intern
Wisk,lever,https://jobs.lever.co/wisk?commitment=Intern
ThousandEyes,greenhouse,https://boards.greenhouse.io/thousandeyes
Plexus,workday,https://plexus.wd5.myworkdayjobs.com/Plexus_Careers/1/refreshFacet/318c8bb6f553100021d223d9780d30be
"Hewlett Packard",workday,https://hpe.wd5.myworkdayjobs.com/Jobsathpe?q=intern
